full_text,case_folding CPMK2,preprocessing CPMK3,label
lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,lah banyak anjing main fish kantor lagi kerja konyoll gaje musnah tolong org org fish seperti begini,main kantor kerja konyoll gaje musnah orang orang,negative
kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,kapan gue tamat secret gue sudah ditahap gila fish anjing mau nangis,tamat secret tahap gila nang,negative
mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic fish susah suaranya ketutupan sama sound asli fish lagian itu chat publik bebas untuk siapa aja nggak perlu lah sampai ngata-ngatain nambahin dosa diri sendiri aja gas aja sender tetap gunain chat publik kamu itu,mic susah suara tutup sound asli chat publik bebas ngata ngatain tambah dosa gas gunain chat publik,positive
chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe dari kemaren dia ngedumelin fish mulu anjing tiap dosen lagi ngomong bacot bet bangsat tidak ada yang peduli sama mancing kamu alat kelamin,chengxiaoshe kemaren ngedumelin dosen ngomong bacot bet bangsat peduli pancing alat kelamin,negative
nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,nggak tertawa tapi kalau dia lagi main maps mana gitu aku bakal ikut join aja kenal nggak kenal soalnya rata-rata yang connect sama aku tuh buat ningkatin friend luck fish sama prospecting doang,tawa main maps join kenal kenal connect ningkatin friend luck prospecting,positive
uukazai haii aku suka main fish sama kalau kamu,uukazai haii aku suka main fish sama kalau kamu,uukazai hai suka main,positive
qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws siapa yang ngajak kamu seng mumpung baru hari mending kabur sekarang sebelum kamu ikutan kena penyakit fish gila,qmiaws ngajak seng mumpung kabur ikut sakit gila,negative
biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,biasanya kalau sudah sampai kantor buka langsung afk fish ini tidak sama sekali soalnya muak banget capek dan bikin burnout,kantor buka langsung away from keyboard muak capek burnout,negative
maen fish sampai kebawa mimpi anjing,maen fish sampai kebawa mimpi anjing,main bawa mimpi,negative
ini siapa yang ngajakin aku main fish sih anjing,ini siapa yang ngajakin aku main fish sih anjing,ngajakin main,negative
mau afk fish bagaimana anjing selain pake red finger,mau afk fish bagaimana anjing selain pake red finger,away from keyboard pakai red finger,negative
the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabarnya seluas samudra samudra fish maksudnya,the real manusia sabar luas samudra samudra maksud,positive
xaezzsha aku dari fish pindah gag,xaezzsha aku dari fish pindah gag,xaezzsha pindah,negative
sudah feeling anjing makanya mending mancing fish,sudah feeling anjing makanya mending mancing fish,feeling pancing,positive
cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,cara agar ngantuk bermain fish akan kuterapkan tar malem biar bisa cepet tidur,ngantuk main terap tar malem cepet tidur,positive
nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir aku sudah muak banget join fish hanya isle,nnykk talon kikir muak join isle,negative
gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat sender mulai ketagihan main fish awalnya gamau soalnya seperti apasih cuma mancing doang tapi woi ternyata ini bukan sekadar mancing roblox,gawat tagih main apasih pancing woi pancing roblox,neutral
mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem banget luck-luck begini tuh kaya tidak ada bedanya dan tetep aja ampas aku suda lost spark sama fish sedih,mioze skem luck luck kaya beda tetep ampas suda lost spark sedih,negative
bye fish mnyet,bye fish mnyet,bye mnyet,negative
roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox tepat hari ini sender sebulan main fish dan belum lolos misi gospin caught sudah 200k kena kutukan 1/2.50m sudah muak dan capek banget tapi masih penasaran,roblox bulan main lolos misi gospin caught kutu muak capek penasaran,negative
chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna pernah kemaren ketemu player fish posesif banget kocak aku mancing rame-rame sama temenku dia drama banget yaudah gapapa kamu sudah bahagia sama yang lain seperti dihh,chaehyuna kemaren ketemu player posesif kocak pancing ramai ramai teman aku drama yaudah gapapa bahagia dihh,positive
gue jadi percaya chatgpt deh soal fish,gue jadi percaya chatgpt deh soal fish,percaya chatgpt,positive
saran enchant pertama yang cocok enchant prismatic fish dong gusy,saran enchant pertama yang cocok enchant prismatic fish dong gusy,saran enchant cocok enchant prismatic gusy,positive
malu sama level fish dan caught sampai sudah ditahap males berharap ikan secret skrng gue main sekedar mancing ajalah,malu sama level fish dan caught sampai sudah ditahap males berharap ikan secret skrng gue main sekedar mancing ajalah,malu level caught tahap malas harap secret skrng main dar pancing aja,positive
isinya pada main fish apakah ini tanda kalau aku harus buka fish lagi https //t.co/5cah6mbaww,isinya pada main fish apakah ini tanda kalau aku harus buka fish lagi https //t.co/5cah6mbaww,isi main tanda buka cah mbaww,positive
tlku semuanyah bahas talon bagus kah game fish belym cobak hmdmds playernya jadi pada gila gitu,tlku semuanyah bahas talon bagus kah game fish belym cobak hmdmds playernya jadi pada gila gitu,tlku semuanyah bahas talon bagus game belym cobak hmdmds playernya gila,negative
gmw main fish stres gue,gmw main fish stres gue,gmw main stres,negative
aku bimbang pink lucu tapi aku menabung buat beli bobber nderr karna ghostfinn sudah tinggal semangat quest jungle aja biar dpt rods terbaik fish itu,aku bimbang pink lucu tapi aku menabung buat beli bobber nderr karna ghostfinn sudah tinggal semangat quest jungle aja biar dpt rods terbaik fish itu,bimbang pink lucu tabung beli bobber nderr ghostfinn tinggal semangat quest jungle rods baik,positive
yourcloudnin3 auto click ini mah bisa buat afk fish,yourcloudnin3 auto click ini mah bisa buat afk fish,yourcloudnin auto click away from keyboard,positive
minipersephone buat fish nya sii iyaa pengennya gitu,minipersephone buat fish nya sii iyaa pengennya gitu,minipersephone sii iyaa ken,positive
ini kayaknya kalau bayaran listrik dirumah gue naek kayanya gegara gueh sudah soalnya 24jam gue main game fish ini anjing,ini kayaknya kalau bayaran listrik dirumah gue naek kayanya gegara gueh sudah soalnya 24jam gue main game fish ini anjing,kayak bayar listrik rumah naek kaya gara-gara gueh jam main game,negative
gue baru bangun dan lagi afk fish dan mendapatkan secret ancient jungle baru menit disana emg deserve https //t.co/etichy3wwv,gue baru bangun dan lagi afk fish dan mendapatkan secret ancient jungle baru menit disana emg deserve https //t.co/etichy3wwv,bangun away from keyboard secret ancient jungle menit sana deserve etichy wwv,positive
gue spend 900rb fish aja menyesal mana gadapet skinnya,gue spend 900rb fish aja menyesal mana gadapet skinnya,spend sesal gadapet skinnya,negative
temen temen roblox kalau ketemu ava ini fish tolong ajarin jangan bully wajar biasanya nanem syantik beralih jadi nelayan jelas planga plongo ‍️‍️ https //t.co/3xz1lxgjnb,temen temen roblox kalau ketemu ava ini fish tolong ajarin jangan bully wajar biasanya nanem syantik beralih jadi nelayan jelas planga plongo ‍️‍️ https //t.co/3xz1lxgjnb,teman teman roblox ketemu ava ajarin bully wajar nanem syantik alih nelayan planga plongo lxgjnb,positive
uwong uwong fish wangi anjing fish itku busuk talon tidak cinta aku,uwong uwong fish wangi anjing fish itku busuk talon tidak cinta aku,uwong uwong bagus itku busuk talon cinta,negative
dahlah kgk mau login fish dapet hikmahnya doang,dahlah kgk mau login fish dapet hikmahnya doang,dah kgk login hikmah,negative
kenapa hari hari fish itu lucu,kenapa hari hari fish itu lucu,lucu,positive
seru banget update fish sekarang tolong secret kamu harus naik,seru banget update fish sekarang tolong secret kamu harus naik,seru update secret,positive
ketagihan beli fish pake gift game sudah anjing,ketagihan beli fish pake gift game sudah anjing,tagih beli pakai gift game,negative
sudah paling bener harusnya gue tidak nyoba main fish,sudah paling bener harusnya gue tidak nyoba main fish,bener coba main,negative
deeyzwn berhubung paper aku sudah mau selesai jadi fish,deeyzwn berhubung paper aku sudah mau selesai jadi fish,deeyzwn hubung paper selesai,positive
nyerah banget aku main fish bye talon,nyerah banget aku main fish bye talon,nyerah main bye talon,negative
jujur sudah muak fish,jujur sudah muak fish,jujur muak,negative
saatnya afkin fish,saatnya afkin fish,afkin,positive
gue mulai merasa lelah fish,gue mulai merasa lelah fish,lelah,negative
muak denger fish anjing gue kesel ditinggal mancing mulu,muak denger fish anjing gue kesel ditinggal mancing mulu,muak denger kesel tinggal pancing,negative
deeyzwn main fish lah jelas,deeyzwn main fish lah jelas,deeyzwn main,positive
gays secret pertama gue huhuhu talon baik banget njir update map fish kli ini https //t.co/5smobkeq6x,gays secret pertama gue huhuhu talon baik banget njir update map fish kli ini https //t.co/5smobkeq6x,gays secret huhuhu talon njir update map smobkeq,positive
memanggil seluruh nelayan fish buat mutual roblox sama sender drop username robloxnya nanti sender add,memanggil seluruh nelayan fish buat mutual roblox sama sender drop username robloxnya nanti sender add,panggil nelayan mutual roblox drop username robloxnya add,positive
sudah malem waktunya boboo yang artinya apaa yapp afk fish talon please nice love,sudah malem waktunya boboo yang artinya apaa yapp afk fish talon please nice love,malem boboo apaa yapp away from keyboard talon please nice love,neutral
pengen main fish cuman gatau main nya gimaanaa,pengen main fish cuman gatau main nya gimaanaa,ken main gatau main gimaanaa,neutral
sayang aku suka mancing walaupun mancing fish https //t.co/fixfdfvkhz,sayang aku suka mancing walaupun mancing fish https //t.co/fixfdfvkhz,sayang suka pancing pancing fixfdfvkhz,positive
hyon main fish ngaak,hyon main fish ngaak,hyon main ngaak,positive
shibuyasugar mending kamu maing fish ama gue,shibuyasugar mending kamu maing fish ama gue,shibuyasugar maing ama,positive
jadi sebenernya luck fish itu work apa engga sih,jadi sebenernya luck fish itu work apa engga sih,sebenernya luck work,neutral
ajarin gue main fish,ajarin gue main fish,ajarin main,positive
demi apapun gue sepenasaran itu pgn banget dapet secret njir fish,demi apapun gue sepenasaran itu pgn banget dapet secret njir fish,apa nasar pgn secret njir,positive
main bareng fish bang,main bareng fish bang,main bareng,positive
roblox perahu baru fish lucuu banget https //t.co/ciwfpq3n0h,roblox perahu baru fish lucuu banget https //t.co/ciwfpq3n0h,roblox perahu lucuu ciwfpq,positive
kita usahain dpt ubur ubur spongebob itu fish,kita usahain dpt ubur ubur spongebob itu fish,usahain ubur ubur spongebob,positive
gue gajadi pensiun fish soalnya ada map baru,gue gajadi pensiun fish soalnya ada map baru,gajadi pensiun map,positive
giliran gue pensiun fish talon malah update double enchant,giliran gue pensiun fish talon malah update double enchant,gilir pensiun talon update double enchant,neutral
adt_game ini secret yang paling berkesan untuk aku sih secret yang berhasil membebaskan aku dari nge kos mungkin sekitar 3-4 hari nyalain nonstop waktu itu sebelum aku pakai cloudphone dan jadi bukti perjuangan aku amp teman² ketika baru pertama kali bermain fish https //t.co/dicppbwlub,adt_game ini secret yang paling berkesan untuk aku sih secret yang berhasil membebaskan aku dari nge kos mungkin sekitar 3-4 hari nyalain nonstop waktu itu sebelum aku pakai cloudphone dan jadi bukti perjuangan aku amp teman² ketika baru pertama kali bermain fish https //t.co/dicppbwlub,adt game secret kesan secret hasil bebas nge kos nyala nonstop pakai cloudphone bukti juang teman main dicppbwlub,positive
fish sudah ada update ada yang mau bareng tidak,fish sudah ada update ada yang mau bareng tidak,update bareng,positive
naoyawho fishitroblox semangat gue sudah berenti fish gatau besok,naoyawho fishitroblox semangat gue sudah berenti fish gatau besok,naoyawho fishitroblox semangat renti gatau besok,neutral
bagas beruntung banget tiap main fish gue kok bau banget tidak dapet dapet secret sebel,bagas beruntung banget tiap main fish gue kok bau banget tidak dapet dapet secret sebel,bagas untung main bau secret sebel,neutral
masih mending main roblox umur daripada sibuk ngurusin kehidupan orang sibuk gibahin orang lain sibuk iri dan dengki terhadap orang lain mending mancing fish melatih kesabaran menunggu kraken meski kadag ngsat juga ini mancing https //t.co/jqtbkdstpi,masih mending main roblox umur daripada sibuk ngurusin kehidupan orang sibuk gibahin orang lain sibuk iri dan dengki terhadap orang lain mending mancing fish melatih kesabaran menunggu kraken meski kadag ngsat juga ini mancing https //t.co/jqtbkdstpi,main roblox umur sibuk ngurusin hidup orang sibuk gibahin orang sibuk iri dengki orang pancing latih sabar tunggu kraken kadag ngsat pancing jqtbkdstpi,positive
fish smuanya sudah tersedia jadi mancing juga bisa ditinggal afk jdi cocok buat yang sibuk kerja dan lain-lain kalau fisch ngerender mapnya mayan lama trus perlengkapan kyak pancingan kapal dan lain-lain hrus bkin sndiri gasiihh ngerakit gitu trus narik ikannya juga manual,fish smuanya sudah tersedia jadi mancing juga bisa ditinggal afk jdi cocok buat yang sibuk kerja dan lain-lain kalau fisch ngerender mapnya mayan lama trus perlengkapan kyak pancingan kapal dan lain-lain hrus bkin sndiri gasiihh ngerakit gitu trus narik ikannya juga manual,smuanya sedia pancing tinggal away from keyboard jdi cocok sibuk kerja fisch ngerender map mayan trus lengkap kyak pancing kapal hrus bkin sndiri gasiihh ngerakit trus tarik ikan manual,positive
afk fish dulu,afk fish dulu,away from keyboard,positive
kok gue langsung mikirnya fish apa gue mulai mancing aja kali,kok gue langsung mikirnya fish apa gue mulai mancing aja kali,langsung mikirnya pancing,neutral
geetzz main fish aje sudah,geetzz main fish aje sudah,geetzz main aje,positive
nanti malam log fish info,nanti malam log fish info,malam log informasi,positive
ada kata mutasi inget fish,ada kata mutasi inget fish,mutasi inget,positive
fwbflix ayo berburu kraken bareng fish,fwbflix ayo berburu kraken bareng fish,fwbflix buru kraken bareng,positive
lebih pilih fish karena aku sibuk kuliah sender jadi bisa aku afk'in selesai mengerjakan tugas dan lain-lain tinggal cek isi tas ikan wakakka,lebih pilih fish karena aku sibuk kuliah sender jadi bisa aku afk'in selesai mengerjakan tugas dan lain-lain tinggal cek isi tas ikan wakakka,pilih sibuk kuliah away from keyboard selesai tugas tinggal cek isi tas wakakka,positive
jadi suka styling sejak main fish,jadi suka styling sejak main fish,suka styling main,positive
fish karena aku selalu afk,fish karena aku selalu afk,away from keyboard,positive
fish sih lebih gampang cara mainnya bagiku bisa otomatis mancing jga bisa ditinggal afk,fish sih lebih gampang cara mainnya bagiku bisa otomatis mancing jga bisa ditinggal afk,gampang main bagi otomatis pancing tinggal away from keyboard,positive
ladysiaint lalysfa_ saveyourthears sorry agak kasar sblmnya gue kasian sama org2 yang dibegoin temen kalau katanya kohana lava dinerf jgn katanya2 sudah kata gue mending gabung discord fish biar tau kasian soalnya kalian nanti nyari coin karna kata temen lokasi ini dinerf alhasil gamaksimal dapet koinnya,ladysiaint lalysfa_ saveyourthears sorry agak kasar sblmnya gue kasian sama org2 yang dibegoin temen kalau katanya kohana lava dinerf jgn katanya2 sudah kata gue mending gabung discord fish biar tau kasian soalnya kalian nanti nyari coin karna kata temen lokasi ini dinerf alhasil gamaksimal dapet koinnya,ladysiaint lalysfa saveyourthears sorry kasar sblmnya kasi orang dibegoin teman kohana lava dinerf gabung discord kasi cari coin teman lokasi dinerf alhasil gamaksimal koin,positive
lemperkucing fish sayang banget sama kamu,lemperkucing fish sayang banget sama kamu,lemperkucing sayang,positive
ladysiaint saveyourthears tidak valid ini tertawa kohana lava masi tetep yang paling bagus buat grinding kalau belum punya pancingan sekelas astral/hazmat keatas temenlu penghuni fish karbitan berarti,ladysiaint saveyourthears tidak valid ini tertawa kohana lava masi tetep yang paling bagus buat grinding kalau belum punya pancingan sekelas astral/hazmat keatas temenlu penghuni fish karbitan berarti,ladysiaint saveyourthears valid tawa kohana lava mas tetep bagus grinding pancing kelas astral hazmat atas temenlu huni karbitan,positive
apalah sender ini mau gag atau fish ntar juga ada game lain yang rame dan banyak yang bahas kalau kamu tidak nyaman ada opsi mute kata fish dsb daripada ngeributin menfess yang lagi rame,apalah sender ini mau gag atau fish ntar juga ada game lain yang rame dan banyak yang bahas kalau kamu tidak nyaman ada opsi mute kata fish dsb daripada ngeributin menfess yang lagi rame,apa ntar game ramai bahas nyaman opsi mute ngeributin menfess ramai,neutral
dnozauruz jiakh jadi sultan fish,dnozauruz jiakh jadi sultan fish,dnozauruz jiakh sultan,positive
omak mulai nagih main fish,omak mulai nagih main fish,omak nagih main,positive
pulau baru fish bagus minusnya kenapa harus ada ular,pulau baru fish bagus minusnya kenapa harus ada ular,pulau bagus minus ular,neutral
seruu banget anjing update fish banyakk questnyaa,seruu banget anjing update fish banyakk questnyaa,seruu update banyakk questnyaa,positive
aku suka main fish ayo temenann,aku suka main fish ayo temenann,suka main temenann,positive
seru updatean fish kali ini yeah tapi gue muak,seru updatean fish kali ini yeah tapi gue muak,seru updatean yeah muak,neutral
boleh juga ini fish update nya,boleh juga ini fish update nya,update,positive
jgn lupa reedem code fish adik adik,jgn lupa reedem code fish adik adik,lupa reedem code adik adik,positive
ninningg iya soalnya sudah biasa menyebar hobi mancing fish pingin cari yang beda,ninningg iya soalnya sudah biasa menyebar hobi mancing fish pingin cari yang beda,ninningg sebar hobi pancing pingin cari beda,neutral
main aja kalau mau mah sender bebas mau fish atau fisch karena aku mainnya fish aku bisa bilang kalau akun baru malah banyak yang lebih beruntung,main aja kalau mau mah sender bebas mau fish atau fisch karena aku mainnya fish aku bisa bilang kalau akun baru malah banyak yang lebih beruntung,main bebas fisch main bilang akun untung,neutral
kayanya aku gbkal bisa pensiun fish deh nyandu banget walau setres ‍️‍️,kayanya aku gbkal bisa pensiun fish deh nyandu banget walau setres ‍️‍️,kaya gbkal pensiun nyandu tres,neutral
fish ada map baruu,fish ada map baruu,map,positive
day main fish bismillah hari ini dapet secret https //t.co/vzxsrcg866,day main fish bismillah hari ini dapet secret https //t.co/vzxsrcg866,day main bismillah secret vzxsrcg,positive
saatnya kambek fish,saatnya kambek fish,kambek,positive
tinggal diblokir aja gasih keyword fish dari twitter kalian masyaallah apa-apa diributin bagaimana sender orang gamenya lagi rame fish tidak lama juga pasti bakalan keganti sama game lain,tinggal diblokir aja gasih keyword fish dari twitter kalian masyaallah apa-apa diributin bagaimana sender orang gamenya lagi rame fish tidak lama juga pasti bakalan keganti sama game lain,tinggal blokir gasih keyword twitter masyaallah diributin orang gamenya ramai ganti game,neutral
otw gila fish lagi soalnya ada pulau baru lagi,otw gila fish lagi soalnya ada pulau baru lagi,otw gila pulau,neutral
pengen nyoba main fish tapi akuu tidak mudeng,pengen nyoba main fish tapi akuu tidak mudeng,ken coba main akuu mudeng,neutral
semoga gacor slalu fish cintaku https //t.co/nw9609scgx,semoga gacor slalu fish cintaku https //t.co/nw9609scgx,gacor slalu cinta scgx,positive
excited dengan updatean fish anjenk ikannya unik-unik brengsekk,excited dengan updatean fish anjenk ikannya unik-unik brengsekk,excited updatean anjenk ikan unik unik brengsekk,positive
lucu juga ini ikan mitos fish baru tertawa https //t.co/uoievgtxk7,lucu juga ini ikan mitos fish baru tertawa https //t.co/uoievgtxk7,lucu mitos tawa uoievgtxk,positive
fish makin susah aja sihh gpp gue main dengan santai tdk mengejar ikan ikan secret talon itu,fish makin susah aja sihh gpp gue main dengan santai tdk mengejar ikan ikan secret talon itu,susah sihh gpp main santai tdk kejar secret talon,neutral
iyakan seru banget gilaa siapa yang blg fish tidak seruu,iyakan seru banget gilaa siapa yang blg fish tidak seruu,iya seru gilaa blg seruu,positive
main fish kalau ada quest baru aja questnya https //t.co/klgweaihf2,main fish kalau ada quest baru aja questnya https //t.co/klgweaihf2,main quest questnya klgweaihf,neutral
new update fish seru banget jirr tapi jiwa ini harus istirahat dulu,new update fish seru banget jirr tapi jiwa ini harus istirahat dulu,new update seru jirr jiwa istirahat,neutral
ini cara bacanya bagaimana sih teman teman maaf player baru fish,ini cara bacanya bagaimana sih teman teman maaf player baru fish,baca teman teman maaf player,neutral
pengen cepet nyampe kantorr mau main fish,pengen cepet nyampe kantorr mau main fish,ken cepet nyampe kantorr main,positive
wow bisa enchant double sekarang fish kren btul,wow bisa enchant double sekarang fish kren btul,wow enchant double kren btul,positive
fish ngincer secret doang,fish ngincer secret doang,ngincer secret,neutral
aku sebenarnya tidak keberatan sih tapi karna tidak main fish jadinya kurang ngerti tertawa,aku sebenarnya tidak keberatan sih tapi karna tidak main fish jadinya kurang ngerti tertawa,berat main ngerti tawa,neutral
fish seru banget anjing roblox,fish seru banget anjing roblox,seru roblox,positive
helpp aku ketagihan main fish,helpp aku ketagihan main fish,helpp tagih main,neutral
siapa yang pagi pagi diajak mancing cobain update fish https //t.co/przaobfbdq,siapa yang pagi pagi diajak mancing cobain update fish https //t.co/przaobfbdq,pagi pagi ajak pancing cobain update przaobfbdq,positive
fish crocodile mutasi petir cakep banget oikk,fish crocodile mutasi petir cakep banget oikk,crocodile mutasi petir cakep oikk,positive
ini deh info dari temen temen discord fish https //t.co/rgjgd3vy9q,ini deh info dari temen temen discord fish https //t.co/rgjgd3vy9q,informasi teman teman discord rgjgd,positive
mari afk fish lagi part,mari afk fish lagi part,away from keyboard part,neutral
pengen nyoba fish takut kecanduan beli skin pancingan,pengen nyoba fish takut kecanduan beli skin pancingan,ken coba takut candu beli skin pancing,neutral
tadinya gue gitu sender sebelum gue akhirnya bertemu fish jdi ketagihan main map fish anjing,tadinya gue gitu sender sebelum gue akhirnya bertemu fish jdi ketagihan main map fish anjing,temu jdi tagih main map,neutral
nyari temen main bareng fish yang suka mancing sambil discord ngobrolin apa aja walau roblox nya afk mancing plss ayo kita discord gabutt anjing sambil scroll scroll atau tiktok gass aja yang penting ada temen tertawa,nyari temen main bareng fish yang suka mancing sambil discord ngobrolin apa aja walau roblox nya afk mancing plss ayo kita discord gabutt anjing sambil scroll scroll atau tiktok gass aja yang penting ada temen tertawa,cari teman main bareng suka pancing discord ngobrolin roblox away from keyboard pancing plss discord gabutt scroll scroll tiktok gas teman tawa,neutral
pengen nyobain ikutan fish tapi takut akun aku bau level 290 masih belom dpt,pengen nyobain ikutan fish tapi takut akun aku bau level 290 masih belom dpt,ken nyobain ikut takut akun bau level,neutral
butuh banget teman main fish bingung kalau dapat secret pamer kemana,butuh banget teman main fish bingung kalau dapat secret pamer kemana,butuh teman main bingung secret pamer,neutral
dari fish kita belajar semua punya proses masing-masing ‍↔️,dari fish kita belajar semua punya proses masing-masing ‍↔️,ajar proses left right arrow,neutral
kangen banget fish yang update tiap jam subuh dan tepat waktu banget huwaa,kangen banget fish yang update tiap jam subuh dan tepat waktu banget huwaa,kangen update jam subuh huwaa,neutral
gara2 fish tidak keurus ini map untung tinggal fitur2nya aja fagh racun gitu fishitroblox,gara2 fish tidak keurus ini map untung tinggal fitur2nya aja fagh racun gitu fishitroblox,urus map untung tinggal fitur fuck racun fishitroblox,neutral
